QuizAvg,Attendance,Missed,Overall,AtRisk
89,45,8,76,Yes
66,85,13,78,No
51,46,37,53,Yes
50,88,10,73,No
47,62,4,66,Yes
56,96,4,80,No
83,71,14,80,No
77,53,10,73,Yes
83,92,36,80,Yes
50,83,22,68,Yes
90,89,13,88,No
78,60,34,69,Yes
87,62,10,80,Yes
79,96,17,85,No
53,55,24,60,Yes
90,46,22,73,Yes
78,52,27,68,Yes
59,76,21,70,No
65,48,26,62,Yes
88,58,22,76,Yes
88,92,40,80,Yes
69,77,11,77,No
94,82,1,91,No
90,50,36,70,Yes
65,78,28,71,Yes
46,84,3,72,No
45,77,1,70,No
77,52,18,71,Yes
72,57,27,67,Yes
50,94,33,68,Yes
89,56,11,79,Yes
62,91,2,81,No
63,62,16,69,Yes
46,61,6,64,Yes
79,57,26,70,Yes
95,54,16,79,Yes
67,57,40,61,Yes
92,49,8,79,Yes
74,67,37,68,Yes
94,42,34,70,Yes
93,42,1,79,Yes
92,53,27,74,Yes
70,88,1,84,No
68,46,20,65,Yes
80,46,17,70,Yes
69,94,36,75,Yes
72,82,32,73,Yes
73,57,25,68,Yes
69,90,14,80,No
61,94,17,77,No
47,85,4,73,No
60,78,1,77,No
86,79,37,77,Yes
83,60,37,70,Yes
45,67,25,60,Yes
58,56,27,61,Yes
86,70,11,82,No
55,52,11,64,Yes
50,54,15,61,Yes
69,64,32,67,Yes
88,91,19,86,No
49,84,31,65,Yes
53,79,33,65,Yes
72,79,38,71,Yes
77,81,16,80,No
75,56,1,76,Yes
66,100,17,81,No
69,49,9,69,Yes
53,76,8,71,No
45,49,21,56,Yes
57,79,25,69,Yes
49,76,8,70,No
78,64,32,70,Yes
67,61,36,64,Yes
59,53,21,63,Yes
90,96,27,86,Yes
83,53,22,72,Yes
51,96,38,67,Yes
90,100,8,93,No
90,82,38,79,Yes
68,75,33,69,Yes
79,45,30,66,Yes
47,42,28,53,Yes
85,70,10,82,No
86,87,8,88,No
92,87,24,85,No
56,96,0,81,No
52,84,11,72,No
77,86,21,80,No
62,42,28,59,Yes
59,75,3,75,No
90,46,26,72,Yes
76,76,5,81,No
94,94,19,90,No
76,84,3,84,No
64,86,22,74,No
63,81,21,73,No
56,90,38,68,Yes
60,98,10,80,No
65,88,25,74,No
